   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
     74000   18624.633      1254289.5      8000          -1182.1083      1904.2714      722.16309      6985.0911    
     75000   18411.197      1242555.8      8000          -1184.6424      1882.4487      697.80635      6902.1457    
     76000   18358.138      1243160.3      8000          -1203.5571      1877.0236      673.46656      6880.8242    
     77000   18307.461      1232646.7      8000          -1222.3002      1871.8422      649.54207      6804.4032    
     78000   18005.291      1232966.2      8000          -1214.9454      1840.947       626.00155      6782.4579    
     79000   18130.073      1215367.3      8000          -1251.0999      1853.7052      602.60527      6671.1866    
     80000   17646.932      1217685.1      8000          -1224.8754      1804.3066      579.43118      6659.5857    
     81000   18171.296      1198229.9      8000          -1301.5493      1857.92        556.37072      6539.3816    
     82000   17690.275      1208833.9      8000          -1275.0521      1808.7382      533.68609      6569.6449    
     83000   17288.061      1202522.1      8000          -1256.3597      1767.6139      511.25428      6515.6968    
     84000   17710.91       1180807.3      8000          -1321.9694      1810.848       488.87866      6384.8949    
     85000   16782.747      1202981.2      8000          -1249.1731      1715.9481      466.77501      6473.5102    
     86000   16625.576      1195465.7      8000          -1254.9808      1699.8783      444.89749      6414.1062    
     87000   16805.604      1190713.1      8000          -1295.0486      1718.2852      423.23658      6368.7143    
     88000   17200.684      1164843.1      8000          -1356.8865      1758.68        401.79353      6218.0968    
     89000   16577.063      1171852.7      8000          -1314.3958      1694.9181      380.5223       6231.8263    
     90000   15978.238      1187864.3      8000          -1274.0592      1633.6914      359.63215      6290.8852    
     91000   16274.424      1161875.7      8000          -1325.0411      1663.9748      338.93368      6140.4206    
     92000   15779.57       1172674.2      8000          -1295.1456      1613.3786      318.23292      6173.6386    
     93000   16205.471      1146769.8      8000          -1358.9859      1656.9247      297.93882      6023.9988    
     94000   16502.669      1137798.1      8000          -1409.8113      1687.3117      277.50039      5958.7625    
     95000   15821.64       1147224        8000          -1360.2127      1617.68        257.46731      5985.7949    
     96000   15758.578      1139394.1      8000          -1373.6333      1611.2323      237.59897      5926.8306    
     97000   15457.035      1139947.8      8000          -1362.4168      1580.4011      217.98427      5909.9805    
     98000   15176.449      1139233.3      8000          -1353.0281      1551.7126      198.68449      5887.1131    
     99000   15609.215      1114000.2      8000          -1416.7312      1595.9607      179.22951      5741.6638    
    100000   15204.066      1126822.8      8000          -1394.4778      1554.5363      160.05845      5786.5185    
