   Step          Temp          PotEng         TotEng         Press          Volume    
     74000   325.52168     -780.58215     -657.35173     -478.84415      7709.3325    
     76000   323.5468      -758.05546     -635.57265      57.67474       7709.3325    
     78000   262.89468     -785.52518     -686.00302      168.58903      7709.3325    
     80000   288.34091     -781.01586     -671.86069      135.87336      7709.3325    
     82000   317.56524     -793.06196     -672.84355     -220.37563      7709.3325    
     84000   254.6495      -769.97625     -673.57541      482.93393      7709.3325    
     86000   318.51998     -771.29908     -650.71924      211.64516      7709.3325    
     88000   308.9373      -780.75425     -663.80206     -599.15755      7709.3325    
     90000   289.63759     -805.83785     -696.19181      277.71039      7709.3325    
     92000   292.72363     -777.03039     -666.2161      -492.87796      7709.3325    
     94000   332.58244     -757.31117     -631.40781     -487.44721      7709.3325    
     96000   339.75842     -790.71617     -662.09625     -152.47828      7709.3325    
     98000   338.32045     -777.22182     -649.14625     -156.447        7709.3325    
    100000   304.52804     -775.44598     -660.16297     -339.71313      7709.3325    
    102000   286.28196     -800.38111     -692.00539      131.44206      7709.3325    
    104000   315.79889     -796.89817     -677.34843     -0.24864156     7709.3325    
    106000   331.75162     -772.59627     -647.00743      101.70709      7709.3325    
    108000   294.10132     -784.47646     -673.14062      254.32954      7709.3325    
    110000   270.10383     -806.52855     -704.27727      237.73658      7709.3325    
    112000   305.44437     -787.30933     -671.67943      280.4898       7709.3325    
    114000   297.16633     -781.84401     -669.34787      531.27325      7709.3325    
    116000   326.46597     -768.7265      -645.1386      -185.90168      7709.3325    
    118000   280.22282     -781.45027     -675.36831      353.25084      7709.3325    
    120000   291.16669     -738.90297     -628.67808     -174.29474      7709.3325    
    122000   285.88648     -761.48381     -653.2578      -212.34883      7709.3325    
    124000   276.62731     -793.72632     -689.00549     -299.23196      7709.3325    
    126000   309.63197     -789.6286      -672.41343     -288.38547      7709.3325    
    128000   296.27487     -775.94631     -663.78764     -462.94717      7709.3325    
    130000   360.04396     -778.30131     -642.00204     -144.26253      7709.3325    
    132000   282.87345     -782.90017     -675.81478      457.43738      7709.3325    
    134000   304.02916     -792.55108     -677.45693     -668.22073      7709.3325    
    136000   285.27865     -814.2029      -706.207       -552.16454      7709.3325    
    138000   308.50417     -792.58674     -675.79851      393.15111      7709.3325    
    140000   296.83868     -790.8245      -678.4524       890.30202      7709.3325    
    142000   294.08269     -800.66697     -689.33818      855.13009      7709.3325    
    144000   290.80536     -768.00131     -657.9132       462.56937      7709.3325    
    146000   286.22808     -786.27264     -677.91731     -174.7276       7709.3325    
    148000   265.29689     -780.57317     -680.14162      273.43997      7709.3325    
    150000   311.53295     -795.55633     -677.62152     -837.899        7709.3325    
    152000   285.33567     -793.83932     -685.82183     -123.88511      7709.3325    
    154000   303.41291     -778.87315     -664.01229      313.19778      7709.3325    
    156000   263.80627     -768.13437     -668.26711     -404.94025      7709.3325    
    158000   298.38899     -753.52807     -640.56907     -101.32222      7709.3325    
    160000   272.94747     -799.1419      -695.81412     -834.31178      7709.3325    
    162000   312.90538     -800.68951     -682.23515     -285.91365      7709.3325    
    164000   294.9193      -800.85447     -689.20897     -729.45328      7709.3325    
    166000   275.31759     -794.85529     -690.63027      181.09268      7709.3325    
    168000   289.47009     -796.1998      -686.61717     -194.52791      7709.3325    
    170000   313.68525     -806.74993     -688.00034     -281.78618      7709.3325    
    172000   300.29988     -784.05626     -670.37388     -54.479477      7709.3325    
    174000   309.73535     -774.02405     -656.76974     -244.07717      7709.3325    
    176000   289.53821     -766.08743     -656.47902     -506.9144       7709.3325    
    178000   262.32422     -769.30262     -669.99641      345.33433      7709.3325    
    180000   270.13992     -788.58916     -686.32421      67.720183      7709.3325    
    182000   298.66947     -775.9519      -662.88673      71.129869      7709.3325    
    184000   290.00432     -800.59058     -690.80571     -25.50084       7709.3325    
    186000   277.86228     -775.66115     -670.4728       156.8724       7709.3325    
    188000   306.43798     -799.43533     -683.42929      173.43055      7709.3325    
    190000   271.77297     -779.77118     -676.88802      485.33981      7709.3325    
    192000   326.19525     -772.73553     -649.25012     -234.53732      7709.3325    
    194000   292.97199     -768.40872     -657.5004      -669.55157      7709.3325    
    196000   297.69025     -804.77886     -692.08438     -342.11241      7709.3325    
    198000   296.1663      -782.89926     -670.78169     -322.09886      7709.3325    
    200000   318.6436      -794.40774     -673.7811      -574.63864      7709.3325    
    202000   296.95372     -780.67652     -668.26087      937.13293      7709.3325    
    204000   331.47669     -794.16766     -668.68289     -474.6929       7709.3325    
    206000   324.18727     -766.88307     -644.1578      -170.41824      7709.3325    
    208000   276.17911     -769.99354     -665.44238      38.986556      7709.3325    
    210000   280.298       -779.77713     -673.66671      88.065406      7709.3325    
    212000   301.88046     -782.16514     -667.88441      381.40506      7709.3325    
    214000   297.61316     -776.52014     -663.85484     -563.7853       7709.3325    
    216000   296.80694     -791.62035     -679.26026     -50.080521      7709.3325    
    218000   327.5183      -771.76155     -647.77528     -961.85106      7709.3325    
    220000   348.31237     -774.80267     -642.94454     -59.981117      7709.3325    
    222000   325.94395     -779.35871     -655.96843      40.892287      7709.3325    
    224000   304.11064     -760.49199     -645.36699      450.8223       7709.3325    
    226000   295.13842     -791.34122     -679.61277      20.032528      7709.3325    
    228000   285.50466     -779.05637     -670.97491     -87.247137      7709.3325    
    230000   275.72155     -801.50046     -697.12252      219.40946      7709.3325    
    232000   262.36599     -796.49401     -697.17199      137.04203      7709.3325    
    234000   297.29634     -777.17594     -664.63058      305.9977       7709.3325    
    236000   316.44134     -759.52785     -639.73491     -695.38824      7709.3325    
    238000   349.09741     -770.47064     -638.31532      320.12276      7709.3325    
    240000   327.50273     -777.30392     -653.32354      180.14319      7709.3325    
    242000   295.83048     -772.72752     -660.73708     -224.35084      7709.3325    
    244000   321.50113     -789.05932     -667.35093      113.82014      7709.3325    
    246000   274.24426     -784.52567     -680.70698     -765.53707      7709.3325    
    248000   317.91167     -771.84378     -651.49422     -672.84245      7709.3325    
    250000   289.90814     -793.27863     -683.53017      328.33525      7709.3325    
    252000   291.92647     -808.91967     -698.40715     -216.38799      7709.3325    
    254000   323.64488     -809.68543     -687.1655      -1150.4244      7709.3325    
    256000   315.05625     -780.17134     -660.90274     -392.79722      7709.3325    
    258000   312.8478      -785.898       -667.46543      207.17364      7709.3325    
    260000   318.49892     -782.23966     -661.6678       284.68888      7709.3325    
    262000   286.89282     -787.31236     -678.70539     -339.59882      7709.3325    
    264000   262.09406     -805.35821     -706.13913      43.858756      7709.3325    
    266000   293.38448     -796.33357     -685.2691       881.80557      7709.3325    
    268000   321.11395     -780.88624     -659.32442      579.11693      7709.3325    
    270000   307.85142     -784.65394     -668.11282      314.43011      7709.3325    
    272000   306.7561      -806.96259     -690.83612     -325.3194       7709.3325    
    274000   287.64498     -799.91244     -691.02073     -140.45935      7709.3325    
    276000   322.74022     -783.6169      -661.43944     -301.49902      7709.3325    
    278000   304.65191     -783.5108      -668.1809       58.256341      7709.3325    
    280000   293.41323     -776.88755     -665.8122       364.40894      7709.3325    
    282000   349.18753     -780.97204     -648.78261      264.72665      7709.3325    
    284000   318.63134     -766.64414     -646.02215     -83.255396      7709.3325    
    286000   283.77572     -780.63502     -673.20807     -395.03376      7709.3325    
    288000   321.1867      -760.90512     -639.31575      517.2295       7709.3325    
    290000   320.91076     -736.70503     -615.22013      399.56747      7709.3325    
    292000   316.99315     -770.42828     -650.42644     -30.976494      7709.3325    
    294000   276.42266     -773.98004     -669.33668      179.88932      7709.3325    
    296000   312.07312     -743.47703     -625.33773     -713.00216      7709.3325    
    298000   305.22131     -770.61844     -655.07298     -39.896255      7709.3325    
    300000   313.01799     -794.52221     -676.02522     -353.04754      7709.3325    
    302000   309.3474      -794.80398     -677.69654      124.97596      7709.3325    
    304000   315.21524     -776.67332     -657.34453     -223.50005      7709.3325    
    306000   303.82135     -783.63228     -668.61679     -352.48547      7709.3325    
    308000   321.49894     -789.3322      -667.62463     -878.279        7709.3325    
    310000   318.82927     -778.81286     -658.11593     -492.91088      7709.3325    
    312000   269.69205     -778.48916     -676.39376     -391.34882      7709.3325    
    314000   292.64822     -770.68326     -659.89751      318.32952      7709.3325    
    316000   281.58554     -797.8852      -691.28737     -432.78832      7709.3325    
    318000   308.46457     -791.61689     -674.84366     -92.064871      7709.3325    
    320000   287.93898     -761.72045     -652.71744     -4.8092249      7709.3325    
    322000   311.10123     -777.36649     -659.59512      154.33396      7709.3325    
    324000   255.26346     -782.57805     -685.94478      46.359638      7709.3325    
    326000   297.22019     -810.06998     -697.55345      291.78231      7709.3325    
    328000   341.2948      -809.93422     -680.73267     -492.02521      7709.3325    
    330000   308.04411     -777.98969     -661.37562     -580.41617      7709.3325    
    332000   269.39767     -770.36278     -668.37883     -660.43406      7709.3325    
    334000   300.07527     -796.65064     -683.05328      540.43313      7709.3325    
    336000   304.40243     -791.00719     -675.77174     -315.93019      7709.3325    
    338000   270.95672     -785.13927     -682.56512     -741.04628      7709.3325    
    340000   313.08499     -799.54749     -681.02513     -840.77787      7709.3325    
    342000   318.50843     -783.65191     -663.07644     -485.81162      7709.3325    
    344000   285.76642     -777.18457     -669.00401     -138.84171      7709.3325    
    346000   325.44827     -800.16693     -676.96429     -14.907636      7709.3325    
    348000   284.01947     -784.41514     -676.89592     -677.62008      7709.3325    
    350000   290.70396     -756.22713     -646.1774      -336.57787      7709.3325    
    352000   311.57987     -789.22656     -671.27399      859.57549      7709.3325    
    354000   310.30623     -792.68594     -675.21552     -143.54427      7709.3325    
    356000   305.31811     -787.30462     -671.72252      257.07674      7709.3325    
    358000   330.69087     -775.81798     -650.63069     -141.53242      7709.3325    
    360000   322.73782     -774.00847     -651.83192      236.14499      7709.3325    
    362000   319.97096     -785.87749     -664.74836      52.638391      7709.3325    
    364000   285.20046     -797.8426      -689.87629      432.86825      7709.3325    
    366000   314.35824     -794.53921     -675.53485     -287.69891      7709.3325    
    368000   289.29664     -802.08369     -692.56672      545.07154      7709.3325    
    370000   309.03779     -782.65983     -665.66959     -197.6829       7709.3325    
    372000   289.54757     -788.0775      -678.46554      484.89023      7709.3325    
    374000   315.74704     -786.57834     -667.04824     -160.78823      7709.3325    
    376000   321.63467     -785.462       -663.70306     -198.33394      7709.3325    
    378000   309.96738     -786.08644     -668.74429     -506.4413       7709.3325    
    380000   303.1108      -785.94345     -671.19696     -229.66713      7709.3325    
    382000   284.75072     -773.97524     -666.17919     -525.31452      7709.3325    
    384000   330.6776      -794.30138     -669.11912      377.05182      7709.3325    
    386000   324.76364     -778.1659      -655.22244     -212.43151      7709.3325    
    388000   342.07402     -790.43362     -660.9371       208.29898      7709.3325    
    390000   270.29014     -774.24966     -671.92785     -50.59777       7709.3325    
    392000   262.85457     -767.31638     -667.80939     -174.59988      7709.3325    
    394000   284.82225     -782.71977     -674.89665      584.18753      7709.3325    
    396000   251.02015     -797.18265     -702.15574      623.38113      7709.3325    
    398000   308.13041     -808.04859     -691.40186     -538.24691      7709.3325    
    400000   280.31189     -798.94048     -692.8248      -287.79476      7709.3325    
    402000   271.8151      -793.25268     -690.35358     -0.91694966     7709.3325    
    404000   286.0042      -785.80336     -677.53279     -131.46647      7709.3325    
    406000   308.45095     -796.99251     -680.22444     -442.43453      7709.3325    
    408000   301.69891     -788.61884     -674.40684     -9.3259833      7709.3325    
    410000   341.03436     -780.70708     -651.60413     -256.46625      7709.3325    
    412000   290.78798     -762.1976      -652.11607      831.63612      7709.3325    
    414000   294.75446     -802.56412     -690.98103     -320.6307       7709.3325    
    416000   285.77982     -767.74983     -659.5642      -160.15244      7709.3325    
    418000   305.54853     -777.56236     -661.89303     -819.0364       7709.3325    
    420000   309.02927     -794.0426      -677.05559      143.90547      7709.3325    
    422000   322.54521     -799.75273     -677.64909     -514.52718      7709.3325    
    424000   328.6618      -789.37454     -664.95538      746.60667      7709.3325    
    426000   286.20639     -797.54489     -689.19777      46.790423      7709.3325    
    428000   288.1571      -787.04659     -677.96101     -242.45533      7709.3325    
    430000   326.1569      -794.96574     -671.49484     -549.57239      7709.3325    
    432000   328.77037     -786.13994     -661.67968     -163.78273      7709.3325    
    434000   284.97744     -792.9282      -685.04632      126.20089      7709.3325    
    436000   308.19215     -778.56068     -661.89058     -301.86035      7709.3325    
    438000   347.39598     -823.81017     -692.29895     -617.31291      7709.3325    
    440000   301.08213     -798.31127     -684.33275      285.32342      7709.3325    
    442000   293.86093     -803.67012     -692.42528      588.5686       7709.3325    
    444000   285.80161     -815.34055     -707.14667     -192.23093      7709.3325    
    446000   319.47203     -810.91581     -689.97556      240.39172      7709.3325    
    448000   328.56077     -809.0615      -684.68059      223.23493      7709.3325    
    450000   261.39658     -792.65117     -693.69612     -428.41097      7709.3325    
    452000   339.82981     -782.80018     -654.15323     -467.2567       7709.3325    
    454000   313.14569     -778.9353      -660.38997     -683.35786      7709.3325    
    456000   295.43707     -793.08018     -681.23867     -333.38914      7709.3325    
    458000   320.99499     -792.02307     -670.50628     -194.9717       7709.3325    
    460000   359.08609     -759.97678     -624.04012      412.09692      7709.3325    
    462000   243.66618     -766.01012     -673.76715     -291.47757      7709.3325    
    464000   307.62705     -770.78492     -654.32874     -297.53695      7709.3325    
    466000   284.64936     -796.70892     -688.95124     -432.55858      7709.3325    
    468000   286.49965     -774.60755     -666.14942     -546.77755      7709.3325    
    470000   274.44851     -784.49339     -680.59737     -361.21642      7709.3325    
    472000   306.06192     -776.69373     -660.83005      57.938785      7709.3325    
    474000   358.59762     -800.04658     -664.29484     -706.68244      7709.3325    
    476000   325.3683      -767.98792     -644.81556     -578.14174      7709.3325    
    478000   271.12785     -778.93476     -676.29582     -998.70676      7709.3325    
    480000   277.08995     -779.77057     -674.8746      -101.03235      7709.3325    
    482000   289.33139     -797.83441     -688.30429      32.863447      7709.3325    
    484000   305.38137     -796.03025     -680.4242       29.141032      7709.3325    
    486000   264.69465     -776.82896     -676.62539      136.6764       7709.3325    
    488000   326.99434     -778.68316     -654.89524     -51.038417      7709.3325    
    490000   266.0325      -758.48205     -657.77202     -788.91319      7709.3325    
    492000   278.65126     -765.92017     -660.43314      37.324794      7709.3325    
    494000   316.97996     -776.0493      -656.05245     -766.96788      7709.3325    
    496000   276.34606     -789.95668     -685.34233     -176.19304      7709.3325    
    498000   281.37629     -809.27976     -702.76115     -77.15263       7709.3325    
    500000   285.39041     -783.01853     -674.98032      234.21008      7709.3325    
