#	Time-averaged	data	for	fix	savemsd
#	TimeStep	c_msd[1]	c_msd[2]	c_msd[3]	c_msd[4]
123000	19.706	35.8386	90.6299	146.174
124000	19.8778	35.0972	92.6198	147.595
125000	22.3926	32.8627	92.5303	147.786
126000	22.6477	30.4664	91.666	144.78
127000	22.4032	31.0827	96.0893	149.575
128000	24.5969	29.3411	95.8681	149.806
129000	24.9461	28.9062	92.7673	146.62
130000	26.2238	27.3628	97.9162	151.503
131000	26.6273	28.3296	98.4146	153.372
132000	26.9747	24.9789	106.356	158.309
133000	25.095	24.6959	107.944	157.735
134000	24.3648	26.6519	109.735	160.752
135000	26.3005	29.2509	112.739	168.29
136000	24.0601	29.4498	107.935	161.445
137000	25.4652	29.706	117.115	172.286
138000	28.0239	31.8845	115.691	175.599
139000	26.0442	34.6345	110.847	171.525
140000	31.2791	33.7522	108.218	173.25
141000	29.159	32.4675	111.141	172.767
142000	28.232	34.8012	125.083	188.116
143000	30.5719	35.2819	130.395	196.249
144000	33.1449	35.4011	133.173	201.719
145000	30.4389	38.1196	133.471	202.03
146000	29.9787	35.6803	139.451	205.11
147000	29.249	37.5064	138.892	205.647
148000	29.6265	34.7717	138.55	202.949
149000	31.888	33.2272	137.403	202.518
150000	32.366	32.6926	133.266	198.325
151000	32.2857	33.3188	144.653	210.257
152000	35.3476	33.0369	142.818	211.203
153000	36.9884	30.7134	131.36	199.062
154000	38.3619	29.1551	137.75	205.267
155000	39.4234	30.3322	156.166	225.922
156000	36.5229	31.4131	157.773	225.709
157000	33.8498	32.0148	156.787	222.651
158000	33.9777	30.9609	157.214	222.152
159000	30.1488	31.5582	161.465	223.172
160000	31.1676	31.9261	157.386	220.479
161000	33.8057	29.8345	159.338	222.978
162000	33.1606	29.58	163.456	226.197
163000	27.627	32.5052	156.129	216.262
164000	29.1904	29.7024	155.445	214.338
165000	27.1797	32.0869	154.693	213.959
166000	28.7725	29.0568	156.197	214.027
167000	27.8598	31.2461	155.911	215.017
168000	29.7501	29.7384	165.095	224.584
169000	27.134	31.9356	159.793	218.863
170000	24.3779	32.2204	159.967	216.565
171000	24.6562	31.449	157.494	213.599
172000	20.9239	37.8031	162.879	221.606
173000	19.792	34.2997	160.185	214.277
174000	21.0466	31.8925	163.445	216.384
175000	19.453	30.5813	162.343	212.377
176000	17.4497	32.0368	167.351	216.837
177000	17.3124	34.6371	169.751	221.701
178000	17.1695	32.3463	170.335	219.85
179000	18.5852	34.2149	163.895	216.696
180000	17.8347	30.4775	167.759	216.072
181000	18.1076	33.5407	163.908	215.557
182000	19.3847	33.0879	165.735	218.208
183000	18.6499	34.7667	163.857	217.274
184000	18.0654	37.3484	165.41	220.824
185000	19.7338	33.4348	164.854	218.022
186000	19.4703	36.542	170.467	226.479
187000	17.8101	34.9239	173.164	225.898
188000	18.8929	34.7212	178.723	232.337
189000	19.7863	33.8193	170.642	224.248
190000	20.4496	33.081	172.033	225.563
191000	20.2184	34.9678	180.48	235.667
192000	19.7846	34.746	188.63	243.16
193000	22.9152	33.5264	190.221	246.662
194000	22.5013	31.8648	187.984	242.35
195000	26.5378	29.9565	177.228	233.723
196000	23.2142	29.6345	180.305	233.154
197000	23.8614	30.1152	165.165	219.142
198000	21.6694	31.2997	170.695	223.664
199000	20.3132	32.0606	178.807	231.181
200000	19.516	33.6855	181.604	234.805
201000	18.8884	32.829	181.796	233.513
202000	17.8532	30.6855	182.782	231.321
203000	17.8902	32.8231	182.193	232.907
204000	17.5535	33.1208	180.154	230.828
205000	15.9661	35.0115	185.821	236.799
206000	17.0786	31.0296	194.51	242.618
207000	19.2662	29.8086	207.892	256.966
208000	20.1631	30.5191	213.376	264.058
209000	19.782	31.9019	214.974	266.658
210000	20.1869	31.6992	223.897	275.783
211000	21.1751	30.3764	225.303	276.855
212000	19.8087	30.2652	233.102	283.176
213000	20.7451	30.1769	250.133	301.055
214000	21.1821	31.0191	249.873	302.074
215000	21.7414	32.8256	244.904	299.471
216000	18.4373	36.5798	242.778	297.795
217000	17.2647	37.7019	232.213	287.18
218000	18.2252	36.4357	232.759	287.42
219000	19.1917	36.6468	236.088	291.926
220000	18.1501	34.7753	236.399	289.324
221000	19.1639	36.018	234.047	289.229
222000	18.1748	35.5175	242.023	295.715
223000	17.3453	32.8633	252.364	302.572
224000	19.2051	36.7286	255.749	311.682
225000	18.7511	35.3944	256.304	310.45
226000	20.6861	35.1787	258.962	314.826
227000	23.3551	31.9889	250.681	306.025
228000	21.6141	36.414	256.803	314.832
229000	21.2802	37.0046	267.25	325.535
230000	21.1854	35.7622	268.648	325.595
231000	23.959	36.0274	266.249	326.235
232000	22.1716	37.0338	265.578	324.783
233000	23.8552	38.1027	266.344	328.302
234000	24.5818	36.344	270.67	331.596
235000	22.0404	35.685	273.13	330.855
236000	20.6345	40.0218	271.59	332.246
237000	18.9874	43.1464	263.769	325.903
238000	19.6651	45.094	259.32	324.079
239000	19.7541	43.4724	253.032	316.258
240000	20.7792	42.0574	247.32	310.157
241000	20.5098	44.4647	255.36	320.334
242000	20.777	40.5588	257.081	318.417
243000	23.632	34.5549	260.38	318.567
244000	23.9211	36.0629	260.6	320.584
245000	24.6504	35.6994	260.651	321.001
246000	26.5658	37.4581	245.477	309.501
247000	26.9298	36.2831	243.362	306.574
248000	28.5222	33.8016	240.88	303.204
