   Step          Temp          E_pair         E_mol          TotEng         Press     
    285000   2887.5766     -2875.5962      0             -2553.4827     -5370.3355    
    288000   3147.9199     -2880.2627      0             -2529.1075     -2079.5277    
    291000   3046.2433     -2882.5265      0             -2542.7135     -5195.9817    
    294000   3150.5511     -2880.8651      0             -2529.4163     -1856.9416    
    297000   3001.5213     -2870.8438      0             -2536.0195      2336.9687    
    300000   2998.2811     -2884.6275      0             -2550.1648     -6401.39      
    303000   3037.1205     -2884.2273      0             -2545.432      -5858.7963    
    306000   3189.9883     -2882.8649      0             -2527.0169     -5403.6245    
    309000   3005.5734     -2876.3478      0             -2541.0716     -2954.7728    
    312000   2943.4684     -2884.0775      0             -2555.7292     -8621.9597    
    315000   3023.7841     -2866.7048      0             -2529.3971      1673.3903    
    318000   3027.3646     -2878.2325      0             -2540.5254     -3652.9762    
    321000   2975.3609     -2875.6193      0             -2543.7133     -2363.7772    
    324000   2953.9652     -2871.2118      0             -2541.6925     -882.06127    
    327000   3020.6873     -2883.2987      0             -2546.3365     -6108.66      
    330000   3199.773      -2878.4577      0             -2521.5182     -495.64419    
    333000   2897.7704     -2894.7686      0             -2571.5179     -10100.88     
    336000   3013.6016     -2871.7054      0             -2535.5336      853.21066    
    339000   2978.7826     -2891.9622      0             -2559.6745     -9370.8558    
    342000   3041.7697     -2895.8217      0             -2556.5077     -11226.411    
    345000   3110.0854     -2867.4889      0             -2520.5542      3115.1758    
    348000   2932.9556     -2878.8837      0             -2551.7081     -4798.544     
    351000   3063.0783     -2887.9919      0             -2546.3009     -7286.5929    
    354000   2925.5312     -2875.0928      0             -2548.7454     -1593.2405    
    357000   3067.1839     -2881.56        0             -2539.411      -4303.071     
    360000   2861.413      -2882.1361      0             -2562.9412     -5224.553     
    363000   3105.7499     -2873.3559      0             -2526.9048     -1163.5527    
    366000   2967.0228     -2886.0564      0             -2555.0806     -8852.5944    
    369000   2921.7418     -2883.3327      0             -2557.408      -8622.4519    
    372000   2898.8071     -2900.9747      0             -2577.6084     -16659.481    
    375000   2987.048      -2879.8514      0             -2546.6417     -6515.7511    
    378000   2922.613      -2879.3632      0             -2553.3413     -2311.4887    
    381000   3012.1005     -2884.4812      0             -2548.4768     -7356.5544    
    384000   2843.1898     -2875.207       0             -2558.0449     -4732.8048    
    387000   3110.1021     -2876.7141      0             -2529.7775     -2814.9302    
    390000   2992.2414     -2874.1318      0             -2540.3428     -1945.9854    
    393000   3012.6472     -2875.1767      0             -2539.1114     -1824.1808    
    396000   3033.9809     -2881.5002      0             -2543.0551     -4372.1496    
    399000   3111.7171     -2891.7796      0             -2544.6629     -8913.8673    
    402000   2931.1297     -2881.6138      0             -2554.6418     -4365.1428    
    405000   2880.871      -2879.4392      0             -2558.0737     -5511.9456    
    408000   3095.1015     -2886.4503      0             -2541.187      -7015.8743    
    411000   2884.0498     -2866.4216      0             -2544.7015     -1243.4917    
    414000   3151.1431     -2897.3628      0             -2545.8481     -10392.4      
    417000   3063.2055     -2876.2408      0             -2534.5356     -2296.1621    
    420000   3077.66       -2868.6836      0             -2525.366       2385.9742    
    423000   2840.4324     -2879.8024      0             -2562.9478     -9839.6332    
    426000   3093.9896     -2869.8234      0             -2524.6842      2070.0488    
    429000   2903.808      -2877.4746      0             -2553.5504     -2804.3682    
    432000   2927.1377     -2883.3674      0             -2556.8407     -7823.6729    
    435000   3024.6562     -2888.0529      0             -2550.6479     -7482.893     
    438000   3025.7749     -2879.2763      0             -2541.7466     -4578.1648    
    441000   2923.1396     -2872.0197      0             -2545.9391     -555.08904    
    444000   3014.8294     -2887.0185      0             -2550.7097     -10482.833    
    447000   2867.2079     -2868.3268      0             -2548.4854     -694.69886    
    450000   2966.1128     -2893.5964      0             -2562.7221     -10627.096    
    453000   3001.7786     -2883.7658      0             -2548.9129     -7347.2046    
    456000   3051.0421     -2879.4656      0             -2539.1173     -4794.9404    
    459000   3177.233      -2881.9331      0             -2527.508      -3638.1152    
    462000   3020.9702     -2878.6757      0             -2541.682      -2604.2661    
    465000   2865.8831     -2870.003       0             -2550.3094     -667.59309    
    468000   3060.9115     -2878.2085      0             -2536.7592     -3926.4947    
    471000   3116.0154     -2892.7718      0             -2545.1756     -9442.5042    
    474000   3001.3516     -2862.3629      0             -2527.5576      5032.6987    
    477000   3126.8424     -2868.1819      0             -2519.3779      3416.2671    
    480000   3016.5429     -2887.3618      0             -2550.8618     -6685.0374    
    483000   2971.7693     -2869.475       0             -2537.9697      2541.7009    
    486000   3063.5319     -2883.0994      0             -2541.3578     -4992.7536    
    489000   3049.428      -2873.8234      0             -2533.6552     -2822.2627    
    492000   3078.0159     -2864.3862      0             -2521.0289      2871.0817    
    495000   2971.2489     -2883.9504      0             -2552.5031     -5692.1959    
    498000   3133.1816     -2867.0226      0             -2517.5115      1313.3501    
    501000   3080.9768     -2876.4095      0             -2532.7219     -3147.2793    
    504000   3032.1552     -2881.8253      0             -2543.5838     -4142.0228    
    507000   3133.0844     -2877.1023      0             -2527.602      -755.7363     
    510000   2969.4631     -2884.2902      0             -2553.0421     -5525.608     
    513000   2983.0206     -2859.5038      0             -2526.7434      2631.3821    
    516000   2789.0354     -2878.8234      0             -2567.7023     -7347.9457    
    519000   2996.177      -2869.7497      0             -2535.5216      1987.2215    
    522000   3248.0531     -2881.1974      0             -2518.8722     -1709.0237    
    525000   2893.0316     -2873.5355      0             -2550.8134     -1869.3112    
    528000   3077.4456     -2894.9552      0             -2551.6615     -10577.501    
    531000   2954.6326     -2873.887       0             -2544.2933     -2824.6609    
    534000   3013.407      -2884.0055      0             -2547.8554     -6212.6669    
    537000   3074.4428     -2885.4584      0             -2542.4996     -5587.4916    
    540000   3019.4698     -2875.0056      0             -2538.1792     -4777.5792    
    543000   3021.1601     -2879.2952      0             -2542.2803     -4566.1479    
    546000   3032.2971     -2885.842       0             -2547.5847     -7968.7845    
    549000   3011.5501     -2875.2567      0             -2539.3138     -4448.0229    
    552000   2859.9425     -2868.0456      0             -2549.0147      139.63087    
    555000   2958.1397     -2875.5762      0             -2545.5913     -5788.8838    
    558000   3075.7562     -2870.7776      0             -2527.6724      2372.0182    
    561000   2981.9194     -2882.987       0             -2550.3494     -5080.4821    
    564000   2849.5062     -2875.7132      0             -2557.8465     -4207.9742    
    567000   3047.9688     -2878.8355      0             -2538.83       -4220.0449    
    570000   2895.8892     -2876.5163      0             -2553.4755     -3435.0898    
    573000   3050.2143     -2891.3236      0             -2551.0676     -10943.351    
    576000   3137.7913     -2896.5433      0             -2546.518      -9635.932     
    579000   2839.5654     -2869.1844      0             -2552.4266     -3178.3187    
    582000   2905.7348     -2881.448       0             -2557.309      -6774.3424    
    585000   2978.8109     -2869.2955      0             -2537.0046     -263.02011    
    588000   3054.7281     -2881.7394      0             -2540.9799     -4634.6435    
    591000   2905.387      -2890.0936      0             -2565.9933     -10439.523    
    594000   2947.7315     -2882.7604      0             -2553.9365     -5897.8454    
    597000   3119.7003     -2872.952       0             -2524.9447     -763.35724    
    600000   2922.4318     -2885.951       0             -2559.9493     -5170.8422    
    603000   2756.4952     -2895.0443      0             -2587.5531     -15155.864    
    606000   3024.1865     -2886.0425      0             -2548.6899     -5576.1274    
    609000   2848.1753     -2865.3109      0             -2547.5927      2496.2182    
    612000   3169.2164     -2876.6746      0             -2523.1437      1136.1298    
    615000   2959.6991     -2878.0069      0             -2547.848      -4232.321     
    618000   3054.801      -2863.6886      0             -2522.9209      3051.6967    
    621000   2882.8299     -2877.5362      0             -2555.9522     -6234.9936    
    624000   3050.2376     -2883.5726      0             -2543.314      -4754.9934    
    627000   3096.8889     -2883.9674      0             -2538.5048     -6000.0905    
    630000   2982.454      -2872.2438      0             -2539.5465     -732.91731    
    633000   2914.1462     -2865.3955      0             -2540.3181      456.92398    
    636000   2914.774      -2882.0866      0             -2556.9392     -6404.8867    
    639000   3010.3708     -2881.9249      0             -2546.1135     -5352.4608    
    642000   3019.3599     -2884.6183      0             -2547.8041     -7110.9436    
