   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
     65000   2930.9135     -4494.9942      12419.207     -2893.0002      326.94781     -2566.0524     -2600.8952    
     66000   2892.7512     -521.33124      12419.207     -2881.8448      322.69075     -2559.1541     -2563.1952    
     67000   3014.8242     -4707.3172      12419.207     -2892.7078      336.30818     -2556.3996     -2592.8882    
     68000   3025.5324     -6817.8438      12419.207     -2900.5931      337.50269     -2563.0904     -2615.9387    
     69000   3058.9772      3166.2523      12419.207     -2881.092       341.23351     -2539.8585     -2515.3154    
     70000   2923.5164      2078.2746      12419.207     -2876.125       326.12265     -2550.0024     -2533.8927    
     71000   3011.5124     -2392.3634      12419.207     -2894.3144      335.93875     -2558.3756     -2576.9199    
     72000   2964.075      -6654.4253      12419.207     -2894.3008      330.64702     -2563.6537     -2615.2353    
     73000   2982.3853     -6045.6336      12419.207     -2893.2455      332.68957     -2560.5559     -2607.4184    
     74000   2964.7204      4333.5942      12419.207     -2876.9741      330.71903     -2546.255      -2512.6633    
     75000   3097.0345      5567.6866      12419.207     -2875.9053      345.47886     -2530.4264     -2487.2687    
     76000   2971.6309      6339.5205      12419.207     -2875.4842      331.4899      -2543.9943     -2494.8538    
     77000   3057.5174     -1689.1703      12419.207     -2890.1838      341.07067     -2549.1132     -2562.2067    
     78000   2857.2716     -5620.9152      12419.207     -2891.6848      318.73295     -2572.9518     -2616.5221    
     79000   3060.4244      2731.6651      12419.207     -2881.8721      341.39494     -2540.4772     -2519.3028    
     80000   3083.5184      253.4458       12419.207     -2885.9725      343.97112     -2542.0014     -2540.0368    
     81000   2769.5222      1953.9015      12419.207     -2875.5163      308.94437     -2566.5719     -2551.4263    
     82000   3058.3944     -2364.0991      12419.207     -2888.9067      341.1685      -2547.7382     -2566.0634    
     83000   2977.122       9145.7202      12419.207     -2868.2761      332.10243     -2536.1737     -2465.281     
     84000   2893.7123      1051.5898      12419.207     -2880.5228      322.79797     -2557.7249     -2549.5735    
     85000   3033.8538      2536.6735      12419.207     -2879.5351      338.43096     -2541.1041     -2521.4412    
     86000   3106.8238      1795.8511      12419.207     -2879.2366      346.57087     -2532.6657     -2518.7452    
     87000   2972.9266      2739.9579      12419.207     -2873.0219      331.63444     -2541.3875     -2520.1488    
     88000   2864.8831      916.73731      12419.207     -2879.0449      319.58202     -2559.4628     -2552.3568    
     89000   2921.3208      10228.138      12419.207     -2863.5054      325.87774     -2537.6277     -2458.3447    
     90000   2915.5963     -3915.6705      12419.207     -2889.665       325.23916     -2564.4258     -2594.778     
     91000   3130.4081      9549.4217      12419.207     -2867.3881      349.20173     -2518.1864     -2444.1644    
     92000   2985.9678      3377.9248      12419.207     -2877.673       333.08921     -2544.5838     -2518.4       
     93000   2964.0497      2681.692       12419.207     -2883.1619      330.6442      -2552.5177     -2531.7307    
     94000   3006.6055      208.09054      12419.207     -2885.2296      335.39137     -2549.8382     -2548.2252    
